Place of interest,Place address,Type of place,BiciMAD Station,Station Location,distance
Iglesia Bíblica Vida Nueva Madrid,AVENIDA MANOTERAS 22 PLANTA 3 LOCAL 120,Iglesia Bíblica Vida Nueva Madrid,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,2185.2106543056084
Iglesia CENFOL España,CALLE ALEJANDRO VILLEGAS 34 Local,Iglesia CENFOL España,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2389.8429873312366
Iglesia Carismática Episcopal de España,CALLE BENEFICENCIA 18,Iglesia Carismática Episcopal de España,7 - Hortaleza,Calle Hortaleza nº 75,164.381934021707
Iglesia Catedral del Redentor,CALLE BENEFICENCIA 18,Iglesia Catedral del Redentor,7 - Hortaleza,Calle Hortaleza nº 75,164.381934021707
Iglesia Celebración Cristiana,CALLE SAN SOTERO 5,Iglesia Celebración Cristiana,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2203.958583228194
Iglesia Centro Cristiano Adonay,CALLE MARIA MARTINEZ OVIOL 17 B,Iglesia Centro Cristiano Adonay,235 - Embajadores 191,Calle Sodio nº 1B,4359.496390496262
Iglesia Centro Cristinano Adonay, CIUDAD DE FRIAS 18 Nave C,Iglesia Centro Cristinano Adonay,213 - Glorieta de Cádiz,Calle Antonio López nº 129,5859.827380133467
Iglesia China Evangélica Misión Internacional,CALLE PUERTO DE CANFRANC 10,Iglesia China Evangélica Misión Internacional,227 - Concordia,Calle Arroyo del Olivar nº 6,375.74069500293774
Iglesia China Río de Esperanza,CALLE NICOLAS USERA 45,Iglesia China Río de Esperanza,213 - Glorieta de Cádiz,Calle Antonio López nº 129,768.5397766091907
Iglesia Christ Embassy,CALLE TORRE DE DON MIGUEL 10,Iglesia Christ Embassy,227 - Concordia,Calle Arroyo del Olivar nº 6,3077.3464519408567
Iglesia Comunidad Cristiana de Fe,CALLE SECOYA 20,Iglesia Comunidad Cristiana de Fe,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4555.761789444718
Iglesia Coreana Cheil,CALLE SECOYA 22 PLANTA 1 1,Iglesia Coreana Cheil,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4638.505334361167
Iglesia Cristiana Adventista,CALLE ALENZA 6 Local estudio Danza Pasión Madrid,Iglesia Cristiana Adventista,130 - Santa Engracia 127,Calle Santa Engracia nº 127,258.4690240452989
Iglesia Cristiana Adventista Alejandro Sánchez 49,CALLE ALEJANDRO SANCHEZ 49,Iglesia Cristiana Adventista Alejandro Sánchez 49,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1088.4407748152746
Iglesia Cristiana Adventista Austria 2,CALLE AUSTRIA 2,Iglesia Cristiana Adventista Austria 2,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3719.025775407098
Iglesia Cristiana Adventista Doctor Bellido 13,CALLE DOCTOR BELLIDO 13 LOCAL,Iglesia Cristiana Adventista Doctor Bellido 13,227 - Concordia,Calle Arroyo del Olivar nº 6,1024.4261309303977
Iglesia Cristiana Adventista Doctor Zofío 4,CALLE DOCTOR ZOFIO 4,Iglesia Cristiana Adventista Doctor Zofío 4,224 - Caramuel,Calle Caramuel nº 51,1921.2337716683212
Iglesia Cristiana Adventista Hermanos Gómez 32,CALLE HERMANOS GOMEZ 32,Iglesia Cristiana Adventista Hermanos Gómez 32,232 - José María Pereda,Calle José María de Pereda nº 1,311.2472728701324
Iglesia Cristiana Adventista Los Yébenes 255,CALLE LOS YEBENES 255,Iglesia Cristiana Adventista Los Yébenes 255,224 - Caramuel,Calle Caramuel nº 51,3374.9498301376516
Iglesia Cristiana Adventista Rusia 11,CALLE RUSIA 11,Iglesia Cristiana Adventista Rusia 11,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3501.53497978822
Iglesia Cristiana Adventista Secoya 19,CALLE SECOYA 19,Iglesia Cristiana Adventista Secoya 19,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4515.237080294588
Iglesia Cristiana Adventista del Séptimo Día. Madrid Alenza,CALLE ALENZA 6 PLANTA Baja,Iglesia Cristiana Adventista del Séptimo Día. Madrid Alenza,130 - Santa Engracia 127,Calle Santa Engracia nº 127,256.9351352516891
Iglesia Cristiana Adventista del Séptimo Día. Madrid Aluche,CALLE LOS YEBENES 255,Iglesia Cristiana Adventista del Séptimo Día. Madrid Aluche,224 - Caramuel,Calle Caramuel nº 51,3376.836891467886
Iglesia Cristiana Adventista del Séptimo Día. Madrid Eben-Ezer,CALLE RUSIA 11,Iglesia Cristiana Adventista del Séptimo Día. Madrid Eben-Ezer,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3500.0011770913457
Iglesia Cristiana Adventista del Séptimo Día. Madrid Efes,CALLE ALEJANDRO SANCHEZ 49,Iglesia Cristiana Adventista del Séptimo Día. Madrid Efes,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1089.691892547258
Iglesia Cristiana Adventista del Séptimo Día. Madrid Emaus,CALLE RUSIA 11,Iglesia Cristiana Adventista del Séptimo Día. Madrid Emaus,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3500.0011770913457
Iglesia Cristiana Adventista del Séptimo Día. Madrid Habla Portuguesa,CALLE DOCTOR ZOFIO 4,Iglesia Cristiana Adventista del Séptimo Día. Madrid Habla Portuguesa,224 - Caramuel,Calle Caramuel nº 51,1921.2337716683212
Iglesia Cristiana Adventista del Séptimo Día. Madrid Horeb,CALLE DOCTOR ZOFIO 4,Iglesia Cristiana Adventista del Séptimo Día. Madrid Horeb,224 - Caramuel,Calle Caramuel nº 51,1921.2337716683212
Iglesia Cristiana Adventista del Séptimo Día. Madrid Resurrección,CALLE AUSTRIA 2,Iglesia Cristiana Adventista del Séptimo Día. Madrid Resurrección,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3717.499160460883
Iglesia Cristiana Adventista del Séptimo Día. Madrid Vallecas,CALLE DOCTOR BELLIDO 13,Iglesia Cristiana Adventista del Séptimo Día. Madrid Vallecas,227 - Concordia,Calle Arroyo del Olivar nº 6,1025.567890040245
Iglesia Cristiana Adventista del Séptimo Día. Madrid Ventas,CALLE HERMANOS GOMEZ 32 local,Iglesia Cristiana Adventista del Séptimo Día. Madrid Ventas,232 - José María Pereda,Calle José María de Pereda nº 1,314.556744629837
Iglesia Cristiana Bautista Betel,CALLE ENERO 13,Iglesia Cristiana Bautista Betel,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,8627.385725456616
Iglesia Cristiana Bautista de Vallecas,CALLE SIERRA ESPU&amp;Ntilde;A 22,Iglesia Cristiana Bautista de Vallecas,221 - Pavones,Calle Hacienda de Pavones nº 342,3117.215674695566
Iglesia Cristiana Casa de mi Padre,CALLE TORTOLA 10 PLANTA 3 C,Iglesia Cristiana Casa de mi Padre,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,2121.0444812786955
Iglesia Cristiana China en España,CALLE GABRIEL USERA 32 y 36,Iglesia Cristiana China en España,222 - Antonio López,Calle Eugenio Caxes frente al nº 12,1025.8143807021706
Iglesia Cristiana Corazón de León,CALLE CARRETAS 14 PLANTA 3,Iglesia Cristiana Corazón de León,34 - Jacinto Benavente,Plaza de Jacinto Benavente,45.138208769408664
Iglesia Cristiana Evangelica de Chamartín,CALLE VICTOR DE LA SERNA 58 y 60,Iglesia Cristiana Evangelica de Chamartín,160 - Colombia,Calle Colombia nº 7,509.9960916917556
Iglesia Cristiana Evangélica Buen Pastor,CALLE ASCENSION BIELSA 54,Iglesia Cristiana Evangélica Buen Pastor,226 - Sierra Toledana,Camino de Valderribas nº 94,33.40059720192285
Iglesia Cristiana Evangélica Casa del Alfarero,CALLE RIO ULLA 14 PLANTA 1,Iglesia Cristiana Evangélica Casa del Alfarero,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,533.2939286982462
Iglesia Cristiana Evangélica Casa del Alfarero calle Monte Oliveti 34,CALLE MONTE OLIVETI 34,Iglesia Cristiana Evangélica Casa del Alfarero calle Monte Oliveti 34,227 - Concordia,Calle Arroyo del Olivar nº 6,376.5486265791857
Iglesia Cristiana Evangélica La Puerta Antonia Lacha 19,CALLE ANTONIA LANCHA 19,Iglesia Cristiana Evangélica La Puerta Antonia Lacha 19,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1475.7138839223992
Iglesia Cristiana Evangélica La Puerta Jose María Pereda 41,CALLE JOSE MARIA PEREDA 41 PLANTA 1,Iglesia Cristiana Evangélica La Puerta Jose María Pereda 41,232 - José María Pereda,Calle José María de Pereda nº 1,259.508980592282
Iglesia Cristiana Evangélica Ministerio Misionero,CALLE HAYA 11 1,Iglesia Cristiana Evangélica Ministerio Misionero,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4959.6212014989915
Iglesia Cristiana Evangélica Pentecostal Shekinah,CALLE MONTE DE MONTJUICH 3,Iglesia Cristiana Evangélica Pentecostal Shekinah,221 - Pavones,Calle Hacienda de Pavones nº 342,2858.615779336069
Iglesia Cristiana Evangélica en Suanzes,PASAJE PAQUITIN 10,Iglesia Cristiana Evangélica en Suanzes,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2173.1348190176636
Iglesia Cristiana Hosanna,CALLE ALFARO 34 - 36,Iglesia Cristiana Hosanna,224 - Caramuel,Calle Caramuel nº 51,2322.041658798784
Iglesia Cristiana Integral Casa sobre la Roca,CALLE ULISES 1,Iglesia Cristiana Integral Casa sobre la Roca,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2,1485.4178986941813
Iglesia Cristiana Paraíso de Adoración,CALLE MONTSENY 21,Iglesia Cristiana Paraíso de Adoración,226 - Sierra Toledana,Camino de Valderribas nº 94,367.6385100140986
Iglesia Cristiana Reconcíliate con Dios,CALLE HAYA 16,Iglesia Cristiana Reconcíliate con Dios,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,5020.6042845342945
Iglesia Cristiana Redimida de Dios,CALLE CLAUDIO SANCHEZ ALBORNOZ 4 PLANTA BAJA,Iglesia Cristiana Redimida de Dios,224 - Caramuel,Calle Caramuel nº 51,5011.331315160044
Iglesia Cristiana Roca Eterna,PASEO DELICIAS 28,Iglesia Cristiana Roca Eterna,120 - Palos de la Frontera,Calle Palos de la Frontera nº 27,203.59259936767936
Iglesia Cristiana Santidad de Dios,CALLE JUAN TORNERO 28,Iglesia Cristiana Santidad de Dios,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,307.588678689802
Iglesia Cristiana Shalom Adonai,AVENIDA MANOTERAS 22 NAVE 36,Iglesia Cristiana Shalom Adonai,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,2185.2106543056084
Iglesia Cristiana Verbo Butrón 20,CALLE BUTRON 20,Iglesia Cristiana Verbo Butrón 20,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3658.725170077501
Iglesia Cruzada Cristiana Misión Vidaa,PASEO MOLINO 13,Iglesia Cruzada Cristiana Misión Vidaa,177 - Legazpi,Calle Bolívar nº 3,187.96476107747975
Iglesia Cuerpo de Cristo,TRAVESIA JUAN FRANCISCO 6,Iglesia Cuerpo de Cristo,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2152.8180374032886
Iglesia Cuerpo de Cristo Ambrosio Vallejo 13,CALLE AMBROSIO VALLEJO 13,Iglesia Cuerpo de Cristo Ambrosio Vallejo 13,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,130.14626529618522
"Iglesia Cuerpo de Cristo, Don Pedro",CALLE DON PEDRO 10,"Iglesia Cuerpo de Cristo, Don Pedro",38 - Plaza de los Carros,Carrera de San Francisco nº 1,146.55039138042227
Iglesia Cuerpo de Cristo. Calle Avelino Fernández de la Poza,CALLE AVELINO FERNANDEZ DE LA POZA 4,Iglesia Cuerpo de Cristo. Calle Avelino Fernández de la Poza,180 - Méndez Álvaro,Calle Retama nº 5,1095.189492528459
Iglesia Dios es Amor - Unión Cristiana,CALLE PRUDENCIO ALVARO 46,Iglesia Dios es Amor - Unión Cristiana,229 - C.D. Concepción,Calle Jose del Hierro nº 5,473.15707213317364
Iglesia Dios es Amor Unión Cristiana Evangélica,CALLE SAN FROILAN 9 y 11,Iglesia Dios es Amor Unión Cristiana Evangélica,213 - Glorieta de Cádiz,Calle Antonio López nº 129,911.5516961447576
Iglesia Ejército de Salvación Madrid,CALLE HERMOSILLA 126 Local 4,Iglesia Ejército de Salvación Madrid,183 - Doctor Esquerdo-Hermosilla,Calle Hermosilla nº 135,166.42977302669345
Iglesia Ejército de Salvación Palomeras,AVENIDA RAFAEL ALBERTI 18 bis,Iglesia Ejército de Salvación Palomeras,221 - Pavones,Calle Hacienda de Pavones nº 342,1466.798256847688
Iglesia El Buen Pastor de Vallecas,CAMINO VALDERRIBAS 96 Nave,Iglesia El Buen Pastor de Vallecas,226 - Sierra Toledana,Camino de Valderribas nº 94,29.476285603327792
Iglesia Elan,CALLE EZCARAY 20 PLANTA 2 C,Iglesia Elan,221 - Pavones,Calle Hacienda de Pavones nº 342,2651.828620579482
Iglesia Emanuel (U.C.E.),CALLE MARINA VEGA 51,Iglesia Emanuel (U.C.E.),228 - San Delfín,Calle San Delfín nº 9,1662.0961917537177
Iglesia Evangélica,CALLE CALATRAVA 25,Iglesia Evangélica,38 - Plaza de los Carros,Carrera de San Francisco nº 1,250.30647445524096
Iglesia Evangélica Adulam,AVENIDA OPORTO 36 LOCAL 7,Iglesia Evangélica Adulam,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1584.9312529132217
Iglesia Evangélica Agua de Vida,CALLE JUAN FRANCISCO 6,Iglesia Evangélica Agua de Vida,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2150.9565100509185
Iglesia Evangélica Alcalá 459,CALLE ALCALA 459,Iglesia Evangélica Alcalá 459,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1290.05313326088
Iglesia Evangélica Arca de Salvación,CALLE EUGENIO SELLES 1,Iglesia Evangélica Arca de Salvación,175 - Jaime el Conquistador,Calle Jaime el Conquistador nº 30,57.74226646070605
Iglesia Evangélica Arturo Soria 18,CALLE ARTURO SORIA 18,Iglesia Evangélica Arturo Soria 18,229 - C.D. Concepción,Calle Jose del Hierro nº 5,1072.9818568052337
Iglesia Evangélica Asamblea de Dios,CALLE MALCAMPO 11 PLANTA BAJA,Iglesia Evangélica Asamblea de Dios,196 - Prosperidad,Calle Suero de Quiñones nº 2,170.32460848106115
Iglesia Evangélica Asamblea de Dios Misionera,CALLE ENRIQUE BORRAS 5 PLANTA local,Iglesia Evangélica Asamblea de Dios Misionera,224 - Caramuel,Calle Caramuel nº 51,1577.708713418382
Iglesia Evangélica Asociación Evangelización Mundial para Cristo,AVENIDA CANILLEJAS A VICALVARO 131,Iglesia Evangélica Asociación Evangelización Mundial para Cristo,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3406.7661894126313
Iglesia Evangélica Avenida de San Diego 13,AVENIDA SAN DIEGO 13,Iglesia Evangélica Avenida de San Diego 13,227 - Concordia,Calle Arroyo del Olivar nº 6,759.1521004197043
Iglesia Evangélica Avivamiento Emmanuel España,CALLE ALVAREZ ABELLAN 17,Iglesia Evangélica Avivamiento Emmanuel España,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2277.7442457795587
Iglesia Evangélica Bautista Barrio del Pilar,CALLE GINZO DE LIMIA 44,Iglesia Evangélica Bautista Barrio del Pilar,217 - Pedro Rico,Calle Pedro Rico nº 4,1664.2033470305646
Iglesia Evangélica Bautista Madridejos 41,CALLE MADRIDEJOS 41,Iglesia Evangélica Bautista Madridejos 41,228 - San Delfín,Calle San Delfín nº 9,1121.8269369516627
Iglesia Evangélica Bautista Vallecas,CALLE SAN VIRGILIO 2 y 4,Iglesia Evangélica Bautista Vallecas,227 - Concordia,Calle Arroyo del Olivar nº 6,372.12997479685475
Iglesia Evangélica Bautista Villaverde,CALLE VILLAPALACIOS 28,Iglesia Evangélica Bautista Villaverde,235 - Embajadores 191,Calle Sodio nº 1B,4217.574283431762
Iglesia Evangélica Buenas Nuevas la Gran Comisión,CALLE RADIO 12 PLANTA BAJO A,Iglesia Evangélica Buenas Nuevas la Gran Comisión,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,995.5125450131604
Iglesia Evangélica Butrón 20,CALLE BUTRON 20,Iglesia Evangélica Butrón 20,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3658.725170077501
Iglesia Evangélica Bíblica Misionera,CALLE TALIA 26,Iglesia Evangélica Bíblica Misionera,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3448.9594263215395
Iglesia Evangélica Casa de Oración,CALLE LONDRES 13,Iglesia Evangélica Casa de Oración,192 - Avenida de los Toreros,Avenida de los Toreros nº 3,223.8148588892352
Iglesia Evangélica Casa de Oración Alfredo Castro Camba 38,CALLE ALFREDO CASTRO CAMBA 38,Iglesia Evangélica Casa de Oración Alfredo Castro Camba 38,227 - Concordia,Calle Arroyo del Olivar nº 6,996.5456122819025
Iglesia Evangélica Casa de la Misericordia,CALLE SANTIAGO ESTEVEZ 29 PLANTA BAJO IZQUIERDA,Iglesia Evangélica Casa de la Misericordia,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,2064.0210921009516
Iglesia Evangélica Centro de Misiones Kairos,CALLE CASTRO DE ORO 7,Iglesia Evangélica Centro de Misiones Kairos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1751.3218279759124
Iglesia Evangélica Centro de Salvación,CALLE VALLE DE TOBALINA 36,Iglesia Evangélica Centro de Salvación,213 - Glorieta de Cádiz,Calle Antonio López nº 129,5839.034297997218
Iglesia Evangélica China Española,CALLE CAROLINAS 10,Iglesia Evangélica China Española,205 - Estrecho,Calle Navarra nº 1,309.50567290870924
Iglesia Evangélica Comunidad de Fe,CALLE ENRIQUE LARRETA 9,Iglesia Evangélica Comunidad de Fe,208 - Plaza de Castilla,Paseo de la Castellana nº 216,263.6012686778223
Iglesia Evangélica Comunidad de la Paz,CALLE MATILDE HERNANDEZ 31 PLANTA BAJO B,Iglesia Evangélica Comunidad de la Paz,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,2080.4390618399093
Iglesia Evangélica Cristo Vive,AVENIDA GRAN VIA DE HORTALEZA 30,Iglesia Evangélica Cristo Vive,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2604.6713071398735
