Place of interest,Place address,Latitude,Longitude,Type of place
Iglesia Alianza Cristiana y Misionera,CALLE ESPERANZA MACARENA 24 SEMISOTANO,40.34938955813733,-3.6903411051943804,Iglesia Alianza Cristiana y Misionera
Iglesia Anglicana de San Jorge,CALLE NUÑEZ DE BALBOA 43,40.42669852639718,-3.68277143067568,Iglesia Anglicana de San Jorge
Iglesia Asamblea Cristiana de Madrid,CALLE ALORA 7 PLANTA Bajo posterior y 9,40.386040079971394,-3.64034744917085,Iglesia Asamblea Cristiana de Madrid
Iglesia Asambleas de Dios Belén,CALLE EZEQUIEL SOLANA 51 LOCALES 1-3,40.42985610848436,-3.6441399002858303,Iglesia Asambleas de Dios Belén
Iglesia Bautista Calvario,CALLE PALERMO 28,40.45911690185054,-3.6488513828849785,Iglesia Bautista Calvario
Iglesia Bautista de Alameda de Osuna,CALLE SOTO HIDALGO 6,40.46013668353802,-3.5799608501207385,Iglesia Bautista de Alameda de Osuna
Iglesia Bautista de Jesús,PASEO PERALES 28,40.405049702498715,-3.739235702341104,Iglesia Bautista de Jesús
"Iglesia Bautista de Jesús (José Villena, 10)",CALLE JOSE VILLENA 10,40.431333124979844,-3.655823971182136,"Iglesia Bautista de Jesús (José Villena, 10)"
Iglesia Bautista de Vallecas,CALLE SAN VIRGILIO 2 y 4,40.395652155665495,-3.6630343908266862,Iglesia Bautista de Vallecas
Iglesia Bautista El Buen Pastor,PLAZA GETAFE 1,40.444238011956884,-3.6721947831541484,Iglesia Bautista El Buen Pastor
Iglesia Bautista Emanuel,CALLE HERNANDEZ DE TEJADA 4,40.44683079932284,-3.6514595783618526,Iglesia Bautista Emanuel
Iglesia Bíblica,CALLE CANAL DE SUEZ 15,40.47232582672411,-3.580075615330767,Iglesia Bíblica
Iglesia Bíblica Reto a la Esperanza,CAMINO HORMIGUERAS 137,40.374809606409876,-3.643042097371311,Iglesia Bíblica Reto a la Esperanza
Iglesia Bíblica Reto a la Esperanza Camino de Hormigueras 137,CAMINO HORMIGUERAS 137,40.374809606409876,-3.643042097371311,Iglesia Bíblica Reto a la Esperanza Camino de Hormigueras 137
Iglesia Bíblica Reto a la Esperanza Sierra de Alcubierre 4,CALLE SIERRA DE ALCUBIERRE 4,40.39240706108415,-3.6675631832603,Iglesia Bíblica Reto a la Esperanza Sierra de Alcubierre 4
Iglesia Bíblica Vida Nueva Madrid,AVENIDA MANOTERAS 22 PLANTA 3 LOCAL 120,40.48730378881032,-3.6673971793876783,Iglesia Bíblica Vida Nueva Madrid
Iglesia Carismática Episcopal de España,CALLE BENEFICENCIA 18,40.42635120982088,-3.698682579292043,Iglesia Carismática Episcopal de España
Iglesia Catedral del Redentor,CALLE BENEFICENCIA 18,40.42635120982088,-3.698682579292043,Iglesia Catedral del Redentor
Iglesia Celebración Cristiana,CALLE SAN SOTERO 5,40.437464332261335,-3.6228155135673554,Iglesia Celebración Cristiana
Iglesia CENFOL España,CALLE ALEJANDRO VILLEGAS 34 Local,40.46517332828151,-3.6488243746464377,Iglesia CENFOL España
Iglesia Centro Cristiano Adonay,CALLE MARIA MARTINEZ OVIOL 17 B,40.35010688886286,-3.691253820762234,Iglesia Centro Cristiano Adonay
Iglesia Centro Cristinano Adonay, CIUDAD DE FRIAS 18 Nave C,40.33811971589477,-3.713824312166029,Iglesia Centro Cristinano Adonay
Iglesia China Evangélica Misión Internacional,CALLE PUERTO DE CANFRANC 10,40.396267707201616,-3.6636066213529817,Iglesia China Evangélica Misión Internacional
Iglesia China Río de Esperanza,CALLE NICOLAS USERA 45,40.38450159065356,-3.7054387161429245,Iglesia China Río de Esperanza
Iglesia Christ Embassy,CALLE TORRE DE DON MIGUEL 10,40.374567244542426,-3.6461483186511154,Iglesia Christ Embassy
Iglesia Comunidad Cristiana de Fe,CALLE SECOYA 20,40.36930664764357,-3.745466154804761,Iglesia Comunidad Cristiana de Fe
Iglesia Coreana Cheil,CALLE SECOYA 22 PLANTA 1 1,40.36910408905974,-3.746309510930643,Iglesia Coreana Cheil
Iglesia Cristiana Adventista,CALLE ALENZA 6 Local estudio Danza Pasión Madrid,40.443575443757055,-3.700489559324882,Iglesia Cristiana Adventista
Iglesia Cristiana Adventista Alejandro Sánchez 49,CALLE ALEJANDRO SANCHEZ 49,40.39015896044393,-3.7220735760780994,Iglesia Cristiana Adventista Alejandro Sánchez 49
Iglesia Cristiana Adventista Austria 2,CALLE AUSTRIA 2,40.424745913913924,-3.6080217648238966,Iglesia Cristiana Adventista Austria 2
Iglesia Cristiana Adventista del Séptimo Día. Madrid Resurrección,CALLE AUSTRIA 2,40.424737348819995,-3.60803688991874,Iglesia Cristiana Adventista del Séptimo Día. Madrid Resurrección
Iglesia Cristiana Adventista del Séptimo Día. Madrid Alenza,CALLE ALENZA 6 PLANTA Baja,40.44356545097694,-3.7004998266858435,Iglesia Cristiana Adventista del Séptimo Día. Madrid Alenza
Iglesia Cristiana Adventista del Séptimo Día. Madrid Aluche,CALLE LOS YEBENES 255,40.38946974102784,-3.7515803449309417,Iglesia Cristiana Adventista del Séptimo Día. Madrid Aluche
Iglesia Cristiana Adventista del Séptimo Día. Madrid Eben-Ezer,CALLE RUSIA 11,40.42423100660826,-3.610095282640812,Iglesia Cristiana Adventista del Séptimo Día. Madrid Eben-Ezer
Iglesia Cristiana Adventista del Séptimo Día. Madrid Efes,CALLE ALEJANDRO SANCHEZ 49,40.390153190373084,-3.7220850553963856,Iglesia Cristiana Adventista del Séptimo Día. Madrid Efes
Iglesia Cristiana Adventista del Séptimo Día. Madrid Emaus,CALLE RUSIA 11,40.42423100660826,-3.610095282640812,Iglesia Cristiana Adventista del Séptimo Día. Madrid Emaus
Iglesia Cristiana Adventista del Séptimo Día. Madrid Habla Portuguesa,CALLE DOCTOR ZOFIO 4,40.3948228497844,-3.738156333879843,Iglesia Cristiana Adventista del Séptimo Día. Madrid Habla Portuguesa
Iglesia Cristiana Adventista del Séptimo Día. Madrid Horeb,CALLE DOCTOR ZOFIO 4,40.3948228497844,-3.738156333879843,Iglesia Cristiana Adventista del Séptimo Día. Madrid Horeb
Iglesia Cristiana Adventista del Séptimo Día. Madrid Vallecas,CALLE DOCTOR BELLIDO 13,40.38473396152094,-3.6673969388303247,Iglesia Cristiana Adventista del Séptimo Día. Madrid Vallecas
Iglesia Cristiana Adventista del Séptimo Día. Madrid Ventas,CALLE HERMANOS GOMEZ 32 local,40.430239463904734,-3.6498796531677073,Iglesia Cristiana Adventista del Séptimo Día. Madrid Ventas
Iglesia Cristiana Adventista Doctor Bellido 13,CALLE DOCTOR BELLIDO 13 LOCAL,40.384743037956014,-3.667388786715533,Iglesia Cristiana Adventista Doctor Bellido 13
Iglesia Cristiana Adventista Doctor Zofío 4,CALLE DOCTOR ZOFIO 4,40.3948228497844,-3.738156333879843,Iglesia Cristiana Adventista Doctor Zofío 4
Iglesia Cristiana Adventista Hermanos Gómez 32,CALLE HERMANOS GOMEZ 32,40.43025079764197,-3.649838033163314,Iglesia Cristiana Adventista Hermanos Gómez 32
Iglesia Cristiana Adventista Los Yébenes 255,CALLE LOS YEBENES 255,40.38947474678948,-3.751562379802795,Iglesia Cristiana Adventista Los Yébenes 255
Iglesia Cristiana Adventista Rusia 11,CALLE RUSIA 11,40.424237049023766,-3.6100802530279967,Iglesia Cristiana Adventista Rusia 11
Iglesia Cristiana Adventista Secoya 19,CALLE SECOYA 19,40.3692641254172,-3.7449067888210887,Iglesia Cristiana Adventista Secoya 19
Iglesia Cristiana Bautista Betel,CALLE ENERO 13,40.44777785297718,-3.5657783371016496,Iglesia Cristiana Bautista Betel
Iglesia Cristiana Bautista de Vallecas,CALLE SIERRA ESPU&amp;Ntilde;A 22,40.37548350089073,-3.6217714951930553,Iglesia Cristiana Bautista de Vallecas
Iglesia Cristiana Casa de mi Padre,CALLE TORTOLA 10 PLANTA 3 C,40.39087260351759,-3.734867022776862,Iglesia Cristiana Casa de mi Padre
Iglesia Cristiana China en España,CALLE GABRIEL USERA 32 y 36,40.38487927104675,-3.708765245871834,Iglesia Cristiana China en España
Iglesia Cristiana Corazón de León,CALLE CARRETAS 14 PLANTA 3,40.41498820459974,-3.703424906084702,Iglesia Cristiana Corazón de León
Iglesia Cristiana Evangelica de Chamartín,CALLE VICTOR DE LA SERNA 58 y 60,40.45777867348771,-3.671802881446396,Iglesia Cristiana Evangelica de Chamartín
Iglesia Cristiana Evangélica Buen Pastor,CALLE ASCENSION BIELSA 54,40.39872139426903,-3.6607166902116255,Iglesia Cristiana Evangélica Buen Pastor
Iglesia Cristiana Evangélica Casa del Alfarero,CALLE RIO ULLA 14 PLANTA 1,40.43416644534178,-3.642738285902067,Iglesia Cristiana Evangélica Casa del Alfarero
Iglesia Cristiana Evangélica Casa del Alfarero calle Monte Oliveti 34,CALLE MONTE OLIVETI 34,40.39707997332226,-3.665001047668981,Iglesia Cristiana Evangélica Casa del Alfarero calle Monte Oliveti 34
Iglesia Cristiana Evangélica en Suanzes,PASAJE PAQUITIN 10,40.44047986175515,-3.6247473743912937,Iglesia Cristiana Evangélica en Suanzes
Iglesia Cristiana Evangélica La Puerta Antonia Lacha 19,CALLE ANTONIA LANCHA 19,40.38577382922113,-3.7210711437076016,Iglesia Cristiana Evangélica La Puerta Antonia Lacha 19
Iglesia Cristiana Evangélica La Puerta Jose María Pereda 41,CALLE JOSE MARIA PEREDA 41 PLANTA 1,40.430482689220426,-3.6478799279685483,Iglesia Cristiana Evangélica La Puerta Jose María Pereda 41
Iglesia Cristiana Evangélica Ministerio Misionero,CALLE HAYA 11 1,40.36613220090543,-3.747406133925766,Iglesia Cristiana Evangélica Ministerio Misionero
Iglesia Cristiana Evangélica Pentecostal Shekinah,CALLE MONTE DE MONTJUICH 3,40.38013097479169,-3.618810637876165,Iglesia Cristiana Evangélica Pentecostal Shekinah
Iglesia Cristiana Hosanna,CALLE ALFARO 34 - 36,40.39008603694386,-3.737012505590283,Iglesia Cristiana Hosanna
Iglesia Cristiana Integral Casa sobre la Roca,CALLE ULISES 1,40.456371724419725,-3.6556133054897137,Iglesia Cristiana Integral Casa sobre la Roca
Iglesia Cristiana Paraíso de Adoración,CALLE MONTSENY 21,40.40095823989181,-3.663441976265768,Iglesia Cristiana Paraíso de Adoración
Iglesia Cristiana Reconcíliate con Dios,CALLE HAYA 16,40.365608004560805,-3.7476502733606907,Iglesia Cristiana Reconcíliate con Dios
Iglesia Cristiana Redimida de Dios,CALLE CLAUDIO SANCHEZ ALBORNOZ 4 PLANTA BAJA,40.397058274873146,-3.771807908257487,Iglesia Cristiana Redimida de Dios
Iglesia Cristiana Roca Eterna,PASEO DELICIAS 28,40.404866930326506,-3.6936814974298464,Iglesia Cristiana Roca Eterna
Iglesia Cristiana Santidad de Dios,CALLE JUAN TORNERO 28,40.41181709187266,-3.726361443652059,Iglesia Cristiana Santidad de Dios
Iglesia Cristiana Shalom Adonai,AVENIDA MANOTERAS 22 NAVE 36,40.48730378881032,-3.6673971793876783,Iglesia Cristiana Shalom Adonai
Iglesia Cristiana Verbo Butrón 20,CALLE BUTRON 20,40.42486808943805,-3.6085501605352426,Iglesia Cristiana Verbo Butrón 20
Iglesia Cruzada Cristiana Misión Vidaa,PASEO MOLINO 13,40.390225425864465,-3.6930580638077504,Iglesia Cruzada Cristiana Misión Vidaa
Iglesia Cuerpo de Cristo,TRAVESIA JUAN FRANCISCO 6,40.38674603374035,-3.7321057793446486,Iglesia Cuerpo de Cristo
Iglesia Cuerpo de Cristo Ambrosio Vallejo 13,CALLE AMBROSIO VALLEJO 13,40.45728970918039,-3.706976226530615,Iglesia Cuerpo de Cristo Ambrosio Vallejo 13
"Iglesia Cuerpo de Cristo, Don Pedro",CALLE DON PEDRO 10,40.41164356061595,-3.7127680071804763,"Iglesia Cuerpo de Cristo, Don Pedro"
Iglesia Cuerpo de Cristo. Calle Avelino Fernández de la Poza,CALLE AVELINO FERNANDEZ DE LA POZA 4,40.38467637366071,-3.6732010597964244,Iglesia Cuerpo de Cristo. Calle Avelino Fernández de la Poza
Iglesia de Cristo - Madrid,CALLE TERUEL 25,40.45142687862351,-3.7010649675352028,Iglesia de Cristo - Madrid
Iglesia de Dios de la Profecía,CALLE EMILIO ORTU&amp;Ntilde;O 19,40.39858161508181,-3.6654538265600167,Iglesia de Dios de la Profecía
Iglesia de Dios Harul,CALLE MATILDE HERNANDEZ 31 PLANTA 2 B LOCAL 8,40.39066340698624,-3.733832375459816,Iglesia de Dios Harul
Iglesia de Dios Vida Nueva,CALLE ROCAFORT 83,40.34231907757052,-3.6866489909092395,Iglesia de Dios Vida Nueva
Iglesia de Dios (Verbo de Dios),CALLE GUTIERREZ Y MICHEL 6,40.3788846528378,-3.6285824907058113,Iglesia de Dios (Verbo de Dios)
"Iglesia de Dios, Verbo de Dios",CALLE PUERTO DE POZAZAL 25,40.3795481034142,-3.6304491509873005,"Iglesia de Dios, Verbo de Dios"
Iglesia de Jesucristo de los Santos de los Últimos Días. Templo de Madrid,CALLE TEMPLO 2,40.400946621600994,-3.63115556549252,Iglesia de Jesucristo de los Santos de los Últimos Días. Templo de Madrid
Iglesia de Jesucristo Palabra Miel,CALLE PAMPLONA 53,40.45581078313137,-3.707199076844166,Iglesia de Jesucristo Palabra Miel
Iglesia de los Discípulos de Cristo,CALLE PEDRO HEREDIA 3,40.428382776615685,-3.666094420916804,Iglesia de los Discípulos de Cristo
Iglesia de Los Elegidos de Dios,CALLE FARO 8 Posterior,40.38119767358174,-3.7264778892367456,Iglesia de Los Elegidos de Dios
Iglesia de Santidad Pentecostal,CALLE SERVANDO BATANERO 8 PLANTA 1 DERECHA,40.42920679348206,-3.6502931839980235,Iglesia de Santidad Pentecostal
Iglesia de Santidad Pentecostal Tomás Redondo 1,CALLE TOMAS REDONDO 1 PLANTA 4 LOCAL 2,40.47301639392714,-3.6309383890620284,Iglesia de Santidad Pentecostal Tomás Redondo 1
Iglesia de Scientology de España,CALLE SANTA CATALINA 7 esquina calle Prado,40.41544685773238,-3.6977564880686664,Iglesia de Scientology de España
Iglesia de Una Esperanza,CAMINO PERALES 110,40.373089513635435,-3.689088695621236,Iglesia de Una Esperanza
Iglesia del Evangelio Cuadrangular,CALLE VENCEJO 3,40.38714515915696,-3.7424171547450222,Iglesia del Evangelio Cuadrangular
Iglesia del Rey Jesucristo,CALLE GRANDEZA ESPA&amp;Ntilde;OLA 49 PLANTA 3ª D,40.4109568893467,-3.733414326558791,Iglesia del Rey Jesucristo
Iglesia Dios es Amor Unión Cristiana Evangélica,CALLE SAN FROILAN 9 y 11,40.38076277245949,-3.7000199485367538,Iglesia Dios es Amor Unión Cristiana Evangélica
Iglesia Dios es Amor - Unión Cristiana,CALLE PRUDENCIO ALVARO 46,40.43829788787747,-3.644274105325617,Iglesia Dios es Amor - Unión Cristiana
Iglesia Ejército de Salvación Madrid,CALLE HERMOSILLA 126 Local 4,40.42545230198005,-3.6678581814924507,Iglesia Ejército de Salvación Madrid
Iglesia Ejército de Salvación Palomeras,AVENIDA RAFAEL ALBERTI 18 bis,40.388453004338494,-3.6402017057531606,Iglesia Ejército de Salvación Palomeras
Iglesia El Buen Pastor de Vallecas,CAMINO VALDERRIBAS 96 Nave,40.398863439810455,-3.660560405682932,Iglesia El Buen Pastor de Vallecas
Iglesia Elan,CALLE EZCARAY 20 PLANTA 2 C,40.410210854887914,-3.61293716036795,Iglesia Elan
Iglesia Emanuel (U.C.E.),CALLE MARINA VEGA 51,40.380164013828775,-3.712516240146969,Iglesia Emanuel (U.C.E.)
Iglesia Evangélica Filadelfia Rafael Finat 3,CALLE RAFAEL FINAT 3,40.38362980952332,-3.7644040244201715,Iglesia Evangélica Filadelfia Rafael Finat 3
Iglesia Evangélica,CALLE CALATRAVA 25,40.40923676813966,-3.7120737849312566,Iglesia Evangélica
Iglesia Evangélica Adulam,AVENIDA OPORTO 36 LOCAL 7,40.38626397188235,-3.7242636555629756,Iglesia Evangélica Adulam
Iglesia Evangélica Agua de Vida,CALLE JUAN FRANCISCO 6,40.38720364104392,-3.732413055047557,Iglesia Evangélica Agua de Vida
Iglesia Evangélica Alcalá 459,CALLE ALCALA 459,40.439073872427564,-3.634185577349754,Iglesia Evangélica Alcalá 459
Iglesia Evangélica Arca de Salvación,CALLE EUGENIO SELLES 1,40.39580823279452,-3.698617401031242,Iglesia Evangélica Arca de Salvación
Iglesia Evangélica Arturo Soria 18,CALLE ARTURO SORIA 18,40.43977112521045,-3.639101549206394,Iglesia Evangélica Arturo Soria 18
Iglesia Evangélica Asamblea de Dios,CALLE MALCAMPO 11 PLANTA BAJA,40.445450329595324,-3.6743524168533828,Iglesia Evangélica Asamblea de Dios
Iglesia Evangélica Asamblea de Dios Misionera,CALLE ENRIQUE BORRAS 5 PLANTA local,40.40656295319298,-3.7424413236488863,Iglesia Evangélica Asamblea de Dios Misionera
Iglesia Evangélica Asociación Evangelización Mundial para Cristo,AVENIDA CANILLEJAS A VICALVARO 131,40.426919386996715,-3.6105786335561914,Iglesia Evangélica Asociación Evangelización Mundial para Cristo
Iglesia Evangélica Avenida de San Diego 13,AVENIDA SAN DIEGO 13,40.38906135219218,-3.670801576025196,Iglesia Evangélica Avenida de San Diego 13
Iglesia Evangélica Avivamiento Emmanuel España,CALLE ALVAREZ ABELLAN 17,40.38519101985389,-3.7323123187363367,Iglesia Evangélica Avivamiento Emmanuel España
Iglesia Evangélica Bautista Barrio del Pilar,CALLE GINZO DE LIMIA 44,40.47854013481567,-3.703163788451918,Iglesia Evangélica Bautista Barrio del Pilar
Iglesia Evangélica Bautista Madridejos 41,CALLE MADRIDEJOS 41,40.384490607528356,-3.709839281335438,Iglesia Evangélica Bautista Madridejos 41
Iglesia Evangélica Bautista Vallecas,CALLE SAN VIRGILIO 2 y 4,40.39573062189441,-3.6631919963225954,Iglesia Evangélica Bautista Vallecas
Iglesia Evangélica Bautista Villaverde,CALLE VILLAPALACIOS 28,40.3513909320076,-3.689149100235942,Iglesia Evangélica Bautista Villaverde
Iglesia Evangélica Buenas Nuevas la Gran Comisión,CALLE RADIO 12 PLANTA BAJO A,40.39240076651593,-3.7233440134536795,Iglesia Evangélica Buenas Nuevas la Gran Comisión
Iglesia Evangélica Butrón 20,CALLE BUTRON 20,40.42486808943805,-3.6085501605352426,Iglesia Evangélica Butrón 20
Iglesia Evangélica Bíblica Misionera,CALLE TALIA 26,40.44727187781195,-3.6155234566793832,Iglesia Evangélica Bíblica Misionera
Iglesia Evangélica Casa de la Misericordia,CALLE SANTIAGO ESTEVEZ 29 PLANTA BAJO IZQUIERDA,40.39105388398816,-3.734197628694965,Iglesia Evangélica Casa de la Misericordia
Iglesia Evangélica Casa de Oración,CALLE FELIPE DE DIEGO 3 Posterior,40.379470784588214,-3.663021565402853,Iglesia Evangélica Casa de Oración
Iglesia Evangélica Casa de Oración,CALLE LONDRES 13,40.43146112930494,-3.6694502641980313,Iglesia Evangélica Casa de Oración
Iglesia Evangélica Casa de Oración Alfredo Castro Camba 38,CALLE ALFREDO CASTRO CAMBA 38,40.38595471801731,-3.670184738164075,Iglesia Evangélica Casa de Oración Alfredo Castro Camba 38
Iglesia Evangélica Centro de Misiones Kairos,CALLE CASTRO DE ORO 7,40.38918327681501,-3.7294229863667314,Iglesia Evangélica Centro de Misiones Kairos
Iglesia Evangélica Centro de Salvación,CALLE VALLE DE TOBALINA 36,40.33869973474483,-3.715179180845713,Iglesia Evangélica Centro de Salvación
Iglesia Evangélica China Española,CALLE CAROLINAS 10,40.451241419899205,-3.704895759227494,Iglesia Evangélica China Española
Iglesia Evangélica Comunidad de Fe,CALLE ENRIQUE LARRETA 9,40.467647940628325,-3.6866551216026346,Iglesia Evangélica Comunidad de Fe
Iglesia Evangélica Comunidad de la Paz,CALLE MATILDE HERNANDEZ 31 PLANTA BAJO B,40.39066340698624,-3.733832375459816,Iglesia Evangélica Comunidad de la Paz
Iglesia Evangélica Cristo Vive,AVENIDA GRAN VIA DE HORTALEZA 30,40.46660577055004,-3.6537495353492995,Iglesia Evangélica Cristo Vive
Iglesia Evangélica de Aluche,CALLE NUESTRA SEÑORA DE LA LUZ 118,40.38654208091557,-3.751536019050476,Iglesia Evangélica de Aluche
Iglesia Evangélica del Nazareno,CALLE PELICANO 26,40.383690841533735,-3.728283631976347,Iglesia Evangélica del Nazareno
Iglesia Evangélica Duque de Sesto,CALLE DUQUE DE SESTO 6,40.422519073596874,-3.6782871144773264,Iglesia Evangélica Duque de Sesto
Iglesia Evangélica El Hogar Cristiano,CALLE ESTOCOLMO 43 PLANTA 2 B,40.42817382661681,-3.600304793330195,Iglesia Evangélica El Hogar Cristiano
Iglesia Evangélica El Shaddai,CALLE MARIA PEDRAZA 11,40.453349071696216,-3.7093874627751746,Iglesia Evangélica El Shaddai
Iglesia Evangélica Emanuel Asambleas de Dios,CALLE DIEGO MANCHADO 29,40.38965773372737,-3.646865492459837,Iglesia Evangélica Emanuel Asambleas de Dios
Iglesia Evangélica Emaús,CALLE AGUAVIVA 6 Local,40.4487149362724,-3.5666134456579752,Iglesia Evangélica Emaús
Iglesia Evangélica Encuentro con Dios,CALLE JOSE DEL PRADO Y PALACIO 1 Local 4,40.40995541329681,-3.653903803273293,Iglesia Evangélica Encuentro con Dios
Iglesia Evangélica Evangelizando las Naciones,PASEO GIGANTES Y CABEZUDOS 48 PLANTA BAJO 12,40.35529078999778,-3.6938688031840106,Iglesia Evangélica Evangelizando las Naciones
Iglesia Evangélica Evangelizando las Naciones Resina 14A,CALLE RESINA 14 A NAVE 2 GETAFE,40.33613935064066,-3.6978602077425373,Iglesia Evangélica Evangelizando las Naciones Resina 14A
"Iglesia Evangélica Fe, Esperanza y Amor",CALLE PATRIARCA SAN JOSE 9 BAJO,40.43055108462239,-3.628173673450934,"Iglesia Evangélica Fe, Esperanza y Amor"
"Iglesia Evangélica Filadelfia Aldaya 41, 42 y 43","CALLE ALDAYA  41, 42, y 43",40.477672230575884,-3.6480512564009726,"Iglesia Evangélica Filadelfia Aldaya 41, 42 y 43"
Iglesia Evangélica Filadelfia Antonio González Porras 21,CALLE ANTONIO GONZALEZ PORRAS 21,40.390589205529665,-3.7176498792496906,Iglesia Evangélica Filadelfia Antonio González Porras 21
Iglesia Evangélica Filadelfia Armengot,CALLE ARMENGOT  SIN NÚMERO,40.396910203966605,-3.7187148158611465,Iglesia Evangélica Filadelfia Armengot
Iglesia Evangélica Filadelfia Avenida Guadalajara 37,AVENIDA GUADALAJARA 37 LOCAL 9,40.42002369011433,-3.6197188348913105,Iglesia Evangélica Filadelfia Avenida Guadalajara 37
